incident_id,line_id,equipment_id,equipment_name,equipment_type,failure_type,failure_category,downtime_minutes,root_cause,resolution_action,parts_cost_usd,labor_hours,incident_date,incident_time,severity,shift,reported_by,verified_by,mttr_minutes,mtbf_hours,environmental_temp_c,humidity_percent,production_impact_units
INC_2024_011,LINE_D1,EQ_PM115,Packaging_Machine_PM115,Packaging,Sensor Malfunction,Detection System,56,Proximity sensor false triggers from electromagnetic interference (12V AC ripple) on adjacent VFD,Replaced sensor with shielded inductive type (M18 PNP) and rerouted cables with 300mm separation from power,145,1.5,2024-02-03,15:22:00,MEDIUM,Evening Shift,Rachel Green,Lisa Wang,56,912,22,46,780
INC_2024_012,LINE_C2,EQ_VS301,Vision_System_VS301,Quality Inspection,Lighting Failure,Illumination System,41,LED lighting array 30% brightness degradation (45000 lm → 31000 lm) after 18500 operating hours,Replaced LED modules (PN: LED-7705) and implemented brightness monitoring with 15% threshold alert,520,1.0,2024-02-05,12:08:00,LOW,Day Shift,Lisa Wang,Tom Wilson,41,1743,21,44,0
INC_2024_013,LINE_B3,EQ_WR220,Welding_Robot_WR220,Welding,Wire Feed Issue,Consumables,167,Wire spool tension inconsistency (±0.8N variation) causing porosity defects in 12% of welds,Adjusted wire feeder tension to 3.2N ±0.1N and upgraded to servo-controlled automatic tension system,340,4.0,2024-02-07,02:35:00,HIGH,Night Shift,David Kim,Sarah Chen,167,643,23,42,1890
INC_2024_014,LINE_A1,EQ_CB101,Conveyor_Belt_CB101,Material Handling,Drive Motor Failure,Motor System,234,Motor bearing (6208-2RS) wear from inadequate lubrication (grease interval exceeded by 840 hours),Replaced motor bearings and implemented automated lubrication system with 500-hour interval monitoring,890,6.0,2024-02-10,08:54:00,CRITICAL,Day Shift,John Martinez,Michael Roberts,234,206,25,41,2450
INC_2024_015,LINE_D1,EQ_AGV105,AGV_Vehicle_AGV105,Autonomous Vehicle,Battery Degradation,Power System,89,Lithium-ion battery capacity reduced to 68% of rated (48V 100Ah → 68Ah) after 1240 charge cycles,Replaced battery pack (PN: BATT-4401) and updated charging protocol to 80% SOC limit for longevity,3200,2.5,2024-02-12,19:26:00,MEDIUM,Evening Shift,Rachel Green,David Kim,89,1128,22,45,0
INC_2024_016,LINE_A1,EQ_HP110,Hydraulic_Press_HP110,Press Equipment,Pressure Loss,Hydraulic System,178,Internal leakage in directional control valve (D03 size) due to spool wear exceeding 15µm clearance,Replaced directional valve (PN: DCV-5503) and added inline 5µm filtration; oil analysis showed 18/16/13 cleanliness,1150,4.5,2024-02-14,11:33:00,HIGH,Day Shift,Michael Roberts,Sarah Chen,178,452,24,43,1560
INC_2024_017,LINE_C2,EQ_AS310,Assembly_Station_AS310,Assembly,Torque Wrench Error,Tool Calibration,23,Torque wrench drift (-8% from calibrated value) detected during routine verification check,Recalibrated torque wrench per ISO 6789-2 and implemented monthly verification schedule,0,0.5,2024-02-16,14:17:00,LOW,Day Shift,Tom Wilson,Lisa Wang,23,1872,23,42,0
INC_2024_018,LINE_B3,EQ_RA205,Robotic_Arm_RA205,Robotics,Encoder Failure,Position Feedback,145,Incremental encoder (2500 PPR) signal degradation from bearing wear causing position errors ±0.5mm,Replaced encoder assembly (PN: ENC-3304) and performed complete kinematic recalibration,980,3.5,2024-02-18,21:49:00,HIGH,Night Shift,Sarah Chen,David Kim,145,721,21,44,1230
INC_2024_019,LINE_D1,EQ_PM115,Packaging_Machine_PM115,Packaging,Film Break,Material Handling,67,Packaging film tensioner spring fatigue (cycled 2.3M times) causing uneven tension and film tears,Replaced tensioner assembly (PN: TNS-6602) with upgraded constant-force spring design,420,2.0,2024-02-20,16:05:00,MEDIUM,Evening Shift,Rachel Green,Tom Wilson,67,843,22,47,890
INC_2024_020,LINE_A1,EQ_CB101,Conveyor_Belt_CB101,Material Handling,Belt Tracking,Alignment System,56,Belt misalignment (12mm lateral deviation) from uneven roller wear pattern across 15m span,Replaced worn rollers (PN: ROL-1102 x4) and performed precision alignment using dial indicators,680,2.5,2024-02-22,09:28:00,MEDIUM,Day Shift,John Martinez,Michael Roberts,56,234,23,43,670
INC_2024_021,LINE_C2,EQ_VS301,Vision_System_VS301,Quality Inspection,Focus Drift,Optical System,34,Camera lens focus shift from mechanical vibration (measured 0.8g RMS at 45Hz resonance),Installed vibration isolation mounts and adjusted camera position away from vibration source,290,1.0,2024-02-24,13:41:00,LOW,Day Shift,Lisa Wang,Tom Wilson,34,1821,21,45,0
INC_2024_022,LINE_B3,EQ_WR220,Welding_Robot_WR220,Welding,Gas Flow Issue,Shielding Gas,123,Argon gas regulator diaphragm failure causing flow rate drop from 15 L/min to 8 L/min,Replaced gas regulator (PN: REG-8801) and installed flow monitoring with 12 L/min minimum alarm,210,3.0,2024-02-26,04:12:00,HIGH,Night Shift,David Kim,Sarah Chen,123,710,23,41,1450
INC_2024_023,LINE_D1,EQ_AGV105,AGV_Vehicle_AGV105,Autonomous Vehicle,Wheel Encoder Error,Navigation System,45,Optical wheel encoder contamination from floor dust reducing pulse accuracy by 18%,Cleaned encoders and installed protective covers; implemented weekly inspection procedure,75,1.5,2024-02-28,17:53:00,LOW,Evening Shift,Rachel Green,Lisa Wang,45,1523,22,46,0
INC_2024_024,LINE_A1,EQ_HP110,Hydraulic_Press_HP110,Press Equipment,Accumulator Failure,Energy Storage,198,Hydraulic accumulator bladder rupture from nitrogen pre-charge pressure loss (90 bar → 45 bar),Replaced accumulator (PN: ACC-7701 10L) and established quarterly pressure verification protocol,1580,5.0,2024-03-02,10:19:00,CRITICAL,Day Shift,Michael Roberts,John Martinez,198,523,25,42,1980
INC_2024_025,LINE_C2,EQ_AS310,Assembly_Station_AS310,Assembly,Fastener Issue,Component Quality,89,Bolt thread damage (M8x1.25) from cross-threading detected in 8 assemblies during quality audit,Replaced damaged fasteners and implemented go/no-go gauge verification at assembly station,45,2.0,2024-03-04,15:37:00,MEDIUM,Day Shift,Tom Wilson,Rachel Green,89,1156,24,43,320
INC_2024_026,LINE_B3,EQ_RA205,Robotic_Arm_RA205,Robotics,Cable Wear,Mechanical System,112,Robot cable track chain wear causing intermittent signal loss on J4 axis during extended reach,Replaced cable track chain (PN: CTC-2204) and rerouted cables with improved strain relief,650,3.0,2024-03-06,23:15:00,MEDIUM,Night Shift,Sarah Chen,Michael Roberts,112,634,21,43,1180
INC_2024_027,LINE_D1,EQ_PM115,Packaging_Machine_PM115,Packaging,Conveyor Slip,Drive System,58,Conveyor drive belt slippage from oil contamination reducing coefficient of friction by 45%,Cleaned conveyor surface and replaced drive belt (PN: BELT-5501); added oil containment shields,185,1.5,2024-03-08,16:42:00,MEDIUM,Evening Shift,Rachel Green,Tom Wilson,58,896,22,48,810
INC_2024_028,LINE_A1,EQ_CB101,Conveyor_Belt_CB101,Material Handling,Idler Bearing Failure,Bearing System,167,Idler roller bearing seizure from water ingress causing roller lockup and belt damage,Replaced 6 idler bearings (PN: BRG-6204-2RSH) and sealed bearing housings; added drainage system,420,4.0,2024-03-10,10:25:00,HIGH,Day Shift,John Martinez,Sarah Chen,167,289,23,52,1780
INC_2024_029,LINE_C2,EQ_VS301,Vision_System_VS301,Quality Inspection,Lens Contamination,Optical System,28,Camera lens oil film buildup from aerosol lubricants reducing image contrast by 30%,Cleaned lens with optical-grade solvent and installed protective air purge system (3 bar, filtered),0,0.5,2024-03-12,13:08:00,LOW,Day Shift,Lisa Wang,Tom Wilson,28,1956,21,44,0
INC_2024_030,LINE_B3,EQ_WR220,Welding_Robot_WR220,Welding,Torch Wear,Consumables,95,Welding torch contact tip erosion (2.5mm wear) causing arc instability and spatter increase,Replaced torch consumables (contact tips x10, nozzles x5, gas diffusers x2) and optimized wire stick-out,125,2.5,2024-03-14,03:47:00,MEDIUM,Night Shift,David Kim,Sarah Chen,95,687,23,42,1260
INC_2024_031,LINE_D1,EQ_AGV105,AGV_Vehicle_AGV105,Autonomous Vehicle,Brake Failure,Safety System,134,Regenerative brake resistor overheating (85°C limit exceeded) causing emergency stop activation,Replaced brake resistor bank (PN: RES-3302) and upgraded cooling fan to 150 CFM capacity,980,3.5,2024-03-16,18:19:00,HIGH,Evening Shift,Rachel Green,David Kim,134,1045,24,45,0
INC_2024_032,LINE_A1,EQ_HP110,Hydraulic_Press_HP110,Press Equipment,Control Valve Stuck,Hydraulic System,145,Proportional valve spool sticking from varnish buildup due to oil oxidation (TAN 2.5 mg KOH/g),Replaced valve (PN: PV-7702) and flushed system; switched to synthetic hydraulic oil ISO VG 46,1280,4.0,2024-03-18,09:52:00,HIGH,Day Shift,Michael Roberts,John Martinez,145,478,26,41,1540
INC_2024_033,LINE_C2,EQ_AS310,Assembly_Station_AS310,Assembly,Pneumatic Actuator Slow,Compressed Air,72,Pneumatic cylinder piston seal wear causing slow stroke time (3.2s actual vs 1.8s specified),Replaced cylinder seals (PN: CYL-SEAL-25) and adjusted flow control valves; verified 6 bar pressure,180,2.0,2024-03-20,14:33:00,MEDIUM,Day Shift,Tom Wilson,Rachel Green,72,1089,24,43,950
INC_2024_034,LINE_B3,EQ_RA205,Robotic_Arm_RA205,Robotics,Gripper Failure,End Effector,88,Pneumatic gripper jaw misalignment (3mm offset) from mounting bracket deformation under stress,Replaced gripper mounting bracket (PN: MNT-6601) with reinforced design and recalibrated TCP,540,2.5,2024-03-22,22:26:00,MEDIUM,Night Shift,Sarah Chen,Michael Roberts,88,722,21,44,1170
INC_2024_035,LINE_D1,EQ_PM115,Packaging_Machine_PM115,Packaging,Label Jam,Material Feed,41,Label roll core slippage causing feed misalignment and jam at applicator head,Re-centered label roll and adjusted core tension; replaced worn label dancer arm spring,95,1.0,2024-03-24,15:48:00,LOW,Evening Shift,Rachel Green,Lisa Wang,41,1124,22,47,570
INC_2024_036,LINE_A1,EQ_CB101,Conveyor_Belt_CB101,Material Handling,Chain Tensioner Failure,Tensioning System,156,Chain tensioner spring breakage causing chain slack and potential derailment,Replaced tensioner assembly (PN: TNS-4401) and upgraded to hydraulic auto-tensioning system,720,4.0,2024-03-26,11:17:00,HIGH,Day Shift,John Martinez,Michael Roberts,156,312,23,43,1650
INC_2024_037,LINE_C2,EQ_VS301,Vision_System_VS301,Quality Inspection,Network Timeout,Communication System,52,Camera-to-PLC Ethernet communication loss from switch overload (95% bandwidth utilization),Upgraded network switch to gigabit with QoS and implemented separate VLAN for vision systems,420,1.5,2024-03-28,12:55:00,MEDIUM,Day Shift,Lisa Wang,Tom Wilson,52,1687,21,45,0
INC_2024_038,LINE_B3,EQ_WR220,Welding_Robot_WR220,Welding,Ground Clamp Poor Contact,Electrical Connection,78,Welding ground clamp corrosion causing high resistance (12Ω vs <0.5Ω spec) and weld defects,Replaced ground clamp (PN: GND-8802) and improved connection surface preparation procedure,85,2.0,2024-03-30,04:23:00,MEDIUM,Night Shift,David Kim,Sarah Chen,78,756,23,42,1040
INC_2024_039,LINE_D1,EQ_AGV105,AGV_Vehicle_AGV105,Autonomous Vehicle,Steering Motor Fault,Drive System,123,Steering servo motor encoder fault from bearing contamination causing position feedback errors,Replaced steering motor assembly (PN: MTR-3301) and upgraded to sealed encoder design,1560,3.0,2024-04-01,19:14:00,HIGH,Evening Shift,Rachel Green,David Kim,123,1167,22,46,0
INC_2024_040,LINE_A1,EQ_HP110,Hydraulic_Press_HP110,Press Equipment,Pressure Transducer Drift,Measurement System,34,Pressure transducer calibration drift (±8% error) affecting force control accuracy,Recalibrated transducer per manufacturer specs and replaced aged sensing element (PN: PT-7701),320,1.0,2024-04-03,10:08:00,LOW,Day Shift,Michael Roberts,John Martinez,34,1834,25,42,0
INC_2024_041,LINE_C2,EQ_AS310,Assembly_Station_AS310,Assembly,Screw Feeder Jam,Parts Feeding,67,Automatic screw feeder vibrator bowl amplitude drift causing part orientation failures,Adjusted vibrator amplitude and replaced worn bowl track; cleaned accumulated debris,145,2.0,2024-04-05,13:42:00,MEDIUM,Day Shift,Tom Wilson,Rachel Green,67,1178,24,43,890
INC_2024_042,LINE_B3,EQ_RA205,Robotic_Arm_RA205,Robotics,Servo Amplifier Fault,Power Electronics,167,J3 axis servo amplifier overvoltage trip from regenerative braking energy spike during rapid decel,Replaced servo amplifier (PN: AMP-3305) and added regenerative resistor bank for energy dissipation,2340,4.5,2024-04-07,21:58:00,HIGH,Night Shift,Sarah Chen,Michael Roberts,167,789,21,44,1760
INC_2024_043,LINE_D1,EQ_PM115,Packaging_Machine_PM115,Packaging,Heat Sealer Temperature,Thermal Control,89,Heat seal temperature fluctuation (±12°C vs ±3°C spec) from failing temperature controller,Replaced PID temperature controller (PN: TMP-6603) and recalibrated to 185°C ±2°C,380,2.5,2024-04-09,16:31:00,MEDIUM,Evening Shift,Rachel Green,Tom Wilson,89,1056,22,48,1180
INC_2024_044,LINE_A1,EQ_CB101,Conveyor_Belt_CB101,Material Handling,VFD Communication Loss,Control System,112,Variable frequency drive Modbus communication failure from cable shield ground discontinuity,Repaired shield ground connection and replaced RS-485 communication cable (PN: CBL-4402),125,3.0,2024-04-11,09:45:00,MEDIUM,Day Shift,John Martinez,Sarah Chen,112,401,23,43,1480
INC_2024_045,LINE_C2,EQ_VS301,Vision_System_VS301,Quality Inspection,Strobe Light Failure,Illumination System,45,LED strobe light driver failure causing inconsistent exposure timing and blurred images,Replaced strobe driver board (PN: DRV-7706) and verified 20µs pulse width consistency,560,1.5,2024-04-13,12:19:00,MEDIUM,Day Shift,Lisa Wang,Tom Wilson,45,1743,21,44,0
INC_2024_046,LINE_B3,EQ_WR220,Welding_Robot_WR220,Welding,Wire Liner Wear,Consumables,101,Welding wire liner wear creating high friction and inconsistent wire feed speed variation,Replaced wire liner (PN: LNR-8803) and optimized drive roll pressure to 30 psi specification,95,2.5,2024-04-15,03:36:00,MEDIUM,Night Shift,David Kim,Sarah Chen,101,823,23,41,1340
INC_2024_047,LINE_D1,EQ_AGV105,AGV_Vehicle_AGV105,Autonomous Vehicle,Safety Scanner Error,Safety System,78,Safety laser scanner contamination from airborne particulate causing false obstacle detection,Cleaned scanner window and installed protective air curtain system; adjusted detection sensitivity,180,2.0,2024-04-17,18:52:00,MEDIUM,Evening Shift,Rachel Green,Lisa Wang,78,1234,22,47,0
INC_2024_048,LINE_A1,EQ_HP110,Hydraulic_Press_HP110,Press Equipment,Cylinder Drift,Hydraulic System,189,Hydraulic cylinder drift (8mm over 30 min) from check valve leakage in pilot operated circuit,Replaced pilot-operated check valves (PN: POCV-7703 x2) and pressure tested to 250 bar,890,5.0,2024-04-19,10:33:00,HIGH,Day Shift,Michael Roberts,John Martinez,189,545,26,42,2010
INC_2024_049,LINE_C2,EQ_AS310,Assembly_Station_AS310,Assembly,Parts Presence Sensor,Detection System,56,Photoelectric sensor alignment drift from mounting bracket vibration causing false rejects,Realigned sensor and installed vibration-dampening mount; adjusted detection threshold,125,1.5,2024-04-21,14:06:00,MEDIUM,Day Shift,Tom Wilson,Rachel Green,56,1245,24,43,740
INC_2024_050,LINE_B3,EQ_RA205,Robotic_Arm_RA205,Robotics,Teach Pendant Cable,User Interface,67,Teach pendant cable connector intermittent from repeated flexing (rated 10k cycles, actual 12k),Replaced teach pendant cable assembly (PN: TPD-3306) with reinforced strain relief design,480,2.0,2024-04-23,22:41:00,MEDIUM,Night Shift,Sarah Chen,Michael Roberts,67,856,21,44,890
INC_2024_051,LINE_D1,EQ_PM115,Packaging_Machine_PM115,Packaging,Cutter Blade Dull,Cutting System,45,Packaging cutter blade wear causing incomplete cuts and material tear instead of clean separation,Replaced cutter blade (PN: BLD-6604) and adjusted cutting pressure; implemented blade wear monitoring,75,1.0,2024-04-25,15:27:00,LOW,Evening Shift,Rachel Green,Tom Wilson,45,1189,22,48,630
INC_2024_052,LINE_A1,EQ_CB101,Conveyor_Belt_CB101,Material Handling,Emergency Stop Fault,Safety System,23,Emergency stop circuit continuity failure from corroded relay contacts in control cabinet,Replaced emergency stop relay (PN: RLY-4403) and applied corrosion-preventive coating to terminals,95,0.5,2024-04-27,11:52:00,LOW,Day Shift,John Martinez,Michael Roberts,23,1912,23,51,0
INC_2024_053,LINE_C2,EQ_VS301,Vision_System_VS301,Quality Inspection,Hard Drive Failure,Computer System,178,Industrial PC hard drive SMART warnings indicating imminent failure from excessive write cycles,Replaced hard drive with industrial-grade SSD (PN: SSD-7707) and restored system from backup,680,4.5,2024-04-29,13:15:00,HIGH,Day Shift,Lisa Wang,Tom Wilson,178,1823,21,45,0
INC_2024_054,LINE_B3,EQ_WR220,Welding_Robot_WR220,Welding,Water Cooler Leak,Cooling System,134,Torch cooling water recirculator leak from pump seal failure causing low coolant level alarm,Replaced recirculator pump (PN: PMP-8804) and refilled with 50/50 ethylene glycol coolant mix,560,3.5,2024-05-01,04:19:00,HIGH,Night Shift,David Kim,Sarah Chen,134,890,23,42,1420
INC_2024_055,LINE_D1,EQ_AGV105,AGV_Vehicle_AGV105,Autonomous Vehicle,Charging Contact Wear,Power System,89,AGV charging contact pins excessive wear from misalignment reducing charging efficiency 40%,Replaced charging contact assembly (PN: CHG-3303) and realigned docking station to ±2mm tolerance,420,2.5,2024-05-03,19:08:00,MEDIUM,Evening Shift,Rachel Green,David Kim,89,1301,22,46,0
INC_2024_056,LINE_A1,EQ_HP110,Hydraulic_Press_HP110,Press Equipment,Oil Contamination,Hydraulic System,156,Hydraulic oil particle contamination (ISO 20/18/15 vs 16/14/11 target) from reservoir breather failure,Performed system flush and oil change; replaced breather with 3µm air filter (PN: BRT-7704),890,4.0,2024-05-05,09:26:00,HIGH,Day Shift,Michael Roberts,John Martinez,156,612,25,43,1650
INC_2024_057,LINE_C2,EQ_AS310,Assembly_Station_AS310,Assembly,Nutrunner Calibration,Tool Accuracy,34,Electric nutrunner torque calibration out of spec (+12% high) risking over-torqued fasteners,Recalibrated nutrunner per ISO 5393 using reference transducer; documented torque audit trail,0,1.0,2024-05-07,14:48:00,LOW,Day Shift,Tom Wilson,Rachel Green,34,1867,24,43,0
INC_2024_058,LINE_B3,EQ_RA205,Robotic_Arm_RA205,Robotics,Reducer Oil Leak,Mechanical System,123,J5 axis harmonic drive reducer seal leak from excessive internal pressure buildup,Replaced reducer assembly (PN: RED-3307) and installed pressure relief breather; refilled with reducer oil,1890,3.5,2024-05-09,23:13:00,HIGH,Night Shift,Sarah Chen,Michael Roberts,123,923,21,44,1300
INC_2024_059,LINE_D1,EQ_PM115,Packaging_Machine_PM115,Packaging,Product Detector Fault,Sensor System,67,Product height sensor drift from temperature variation affecting package reject logic,Replaced ultrasonic sensor (PN: SNS-6605) with temperature-compensated model; recalibrated range,290,2.0,2024-05-11,16:19:00,MEDIUM,Evening Shift,Rachel Green,Tom Wilson,67,1256,22,49,890
INC_2024_060,LINE_A1,EQ_CB101,Conveyor_Belt_CB101,Material Handling,Splice Failure,Belt Maintenance,145,Conveyor belt splice failure from improper vulcanization (bond strength 60% of specification),Re-spliced belt using approved hot vulcanization process; verified 85% belt tensile strength retention,520,4.0,2024-05-13,10:41:00,HIGH,Day Shift,John Martinez,Sarah Chen,145,467,23,44,1530
INC_2024_061,LINE_C2,EQ_VS301,Vision_System_VS301,Quality Inspection,Backup Battery Failed,Power Backup,28,Vision system UPS battery failure causing loss of settings during power interruption,Replaced UPS battery module (PN: BATT-7708) and verified 15-minute runtime at full load,340,0.5,2024-05-15,12:04:00,LOW,Day Shift,Lisa Wang,Tom Wilson,28,1956,21,45,0
INC_2024_062,LINE_B3,EQ_WR220,Welding_Robot_WR220,Welding,Positioner Malfunction,Workpiece Handling,112,Welding positioner rotation axis stalling from overload and inadequate motor sizing,Upgraded positioner motor (PN: MTR-8805) to 2.2kW with increased torque rating; added current monitoring,1680,3.0,2024-05-17,03:52:00,MEDIUM,Night Shift,David Kim,Sarah Chen,112,957,23,42,1490
INC_2024_063,LINE_D1,EQ_AGV105,AGV_Vehicle_AGV105,Autonomous Vehicle,WiFi Disconnection,Communication System,78,AGV WiFi communication intermittent from access point overload (38 devices on single AP),Installed dedicated access point for AGV fleet and optimized channel selection to reduce interference,580,2.0,2024-05-19,18:37:00,MEDIUM,Evening Shift,Rachel Green,Lisa Wang,78,1367,22,47,0
INC_2024_064,LINE_A1,EQ_HP110,Hydraulic_Press_HP110,Press Equipment,Load Cell Drift,Force Measurement,45,Press load cell measurement drift (±5% error) from thermal expansion during continuous operation,Replaced load cell (PN: LC-7709) with temperature-compensated strain gauge design; recalibrated,1280,1.5,2024-05-21,09:18:00,MEDIUM,Day Shift,Michael Roberts,John Martinez,45,1789,26,42,0
INC_2024_065,LINE_C2,EQ_AS310,Assembly_Station_AS310,Assembly,Air Dryer Failure,Compressed Air Quality,167,Refrigerated air dryer failure causing moisture in pneumatic system (dew point +15°C vs -20°C spec),Replaced air dryer refrigeration unit (PN: DRY-2205) and added inline moisture separator with auto drain,1450,4.5,2024-05-23,13:51:00,HIGH,Day Shift,Tom Wilson,Rachel Green,167,1334,24,58,1770
INC_2024_066,LINE_B3,EQ_RA205,Robotic_Arm_RA205,Robotics,Memory Battery Low,Controller Backup,23,Robot controller memory backup battery low voltage warning (2.8V vs 3.6V nominal),Replaced controller backup battery (PN: BATT-3308) and verified program memory retention,45,0.5,2024-05-25,22:05:00,LOW,Night Shift,Sarah Chen,Michael Roberts,23,1989,21,44,0
INC_2024_067,LINE_D1,EQ_PM115,Packaging_Machine_PM115,Packaging,Reject Gate Jam,Mechanical System,89,Package reject diverter gate jam from debris accumulation in pivot bearing,Cleaned pivot bearing and replaced with sealed bearing design; installed debris shield,185,2.5,2024-05-27,15:44:00,MEDIUM,Evening Shift,Rachel Green,Tom Wilson,89,1323,22,48,1180
INC_2024_068,LINE_A1,EQ_CB101,Conveyor_Belt_CB101,Material Handling,Photoelectric Sensor Dirty,Detection System,34,Photoelectric sensor lens contamination from airborne oil mist reducing detection range 50%,Cleaned sensor lens and installed protective air purge; relocated sensor away from mist source,85,1.0,2024-05-29,11:27:00,LOW,Day Shift,John Martinez,Michael Roberts,34,1923,23,46,450
INC_2024_069,LINE_C2,EQ_VS301,Vision_System_VS301,Quality Inspection,Ethernet Cable Damage,Communication Infrastructure,56,Vision system Ethernet cable physical damage from forklift impact causing packet loss,Replaced Cat6A Ethernet cable (PN: CBL-7710) and installed cable protection raceway,95,1.5,2024-05-31,12:36:00,MEDIUM,Day Shift,Lisa Wang,Tom Wilson,56,1867,21,45,0
INC_2024_070,LINE_B3,EQ_WR220,Welding_Robot_WR220,Welding,Nozzle Spatter Buildup,Consumable Maintenance,67,Excessive spatter accumulation in welding nozzle restricting shielding gas flow,Cleaned nozzle and applied anti-spatter compound; adjusted welding parameters to reduce spatter generation,45,2.0,2024-06-02,04:28:00,MEDIUM,Night Shift,David Kim,Sarah Chen,67,1024,23,41,890
INC_2024_071,LINE_D1,EQ_AGV105,AGV_Vehicle_AGV105,Autonomous Vehicle,Bumper Sensor False Trip,Safety System,45,AGV safety bumper sensor false triggering from loose mounting causing excessive mechanical noise,Tightened bumper sensor mounting and adjusted mechanical preload; verified 5mm activation distance,95,1.5,2024-06-04,19:16:00,LOW,Evening Shift,Rachel Green,David Kim,45,1434,22,47,0
INC_2024_072,LINE_A1,EQ_HP110,Hydraulic_Press_HP110,Press Equipment,Manifold Block Leak,Hydraulic Components,178,Hydraulic manifold block cross-drilling leak from fatigue crack propagation after 850k cycles,Replaced manifold block (PN: MNF-7705) and upgraded to higher fatigue strength aluminum alloy,2340,5.0,2024-06-06,10:13:00,HIGH,Day Shift,Michael Roberts,John Martinez,178,679,25,43,1890
